date,day,personnel,aircrafts,helicopters,tanks,apv,aaws,mlrs,vehicles,special,artillery,uav,boats,missiles,notes
2022-07-29,156,40500,222,190,1749,3987,117,258,2870,77,900,731,15,174,
2022-07-30,157,40670,222,190,1759,3995,117,258,2889,78,906,733,15,174,
2022-07-31,158,40830,223,190,1763,4004,117,259,2902,80,916,735,15,174,
2022-08-01,159,41030,223,190,1768,4011,117,259,2912,82,932,736,15,174,
2022-08-02,160,41170,223,191,1768,4014,117,259,2914,82,936,739,15,174,
2022-08-03,161,41350,223,191,1774,4022,118,259,2922,83,939,740,15,180,
2022-08-04,162,41500,223,191,1789,4026,118,260,2960,83,946,742,15,182,
2022-08-05,163,41650,223,191,1792,4032,123,260,2964,83,950,742,15,182,
2022-08-06,164,41900,223,191,1802,4051,127,260,2970,85,955,744,15,182,
2022-08-07,165,42200,223,191,1805,4055,132,260,2978,86,958,750,15,182,
2022-08-08,166,42340,223,192,1811,4070,132,261,2993,86,960,754,15,182,
2022-08-09,167,42640,223,193,1817,4076,133,261,2998,87,964,757,15,185,
2022-08-10,168,42800,232,193,1832,4086,133,261,3005,89,971,766,15,185,
2022-08-11,169,43000,232,193,1846,4100,134,261,3018,90,974,772,15,185,
2022-08-12,170,43200,233,193,1849,4108,136,261,3021,90,975,778,15,185,
2022-08-13,171,43400,233,193,1856,4115,136,261,3036,91,978,779,15,187,
2022-08-14,172,43550,233,194,1864,4126,136,261,3039,91,980,784,15,187,
2022-08-15,173,43750,233,195,1876,4141,136,261,3044,92,985,787,15,187,
2022-08-16,174,43900,233,196,1880,4152,136,263,3049,92,989,790,15,190,
2022-08-17,175,44100,233,196,1886,4162,136,263,3054,93,993,792,15,190,
2022-08-18,176,44300,234,197,1889,4179,136,265,3061,93,1010,793,15,190,
2022-08-19,177,44700,234,197,1899,4195,141,266,3130,94,1016,795,15,190,
2022-08-20,178,44900,234,197,1907,4212,141,266,3137,97,1018,803,15,190,
2022-08-21,179,45200,234,197,1912,4224,141,266,3143,99,1028,806,15,190,
2022-08-22,180,45400,234,198,1919,4230,145,266,3149,99,1032,815,15,194,
2022-08-23,181,45550,234,198,1921,4238,146,266,3150,99,1033,817,15,196,
2022-08-24,182,45700,234,199,1924,4243,147,266,3160,99,1036,819,15,196,
2022-08-25,183,45850,234,202,1929,4245,148,272,3160,99,1037,828,15,196,
2022-08-26,184,46250,234,202,1936,4251,148,272,3162,99,1040,834,15,196,
2022-08-27,185,46500,234,202,1939,4254,148,274,3165,99,1045,836,15,196,
2022-08-28,186,46750,234,202,1942,4257,148,274,3171,99,1050,838,15,196,
2022-08-29,187,47100,234,203,1947,4269,149,279,3188,101,1060,844,15,196,
2022-08-30,188,47550,234,204,1954,4294,151,282,3217,103,1079,847,15,196,
2022-08-31,189,47900,234,204,1974,4312,152,285,3236,103,1091,849,15,196,
2022-09-01,190,48350,234,205,1997,4345,153,287,3239,104,1115,851,15,196,
2022-09-02,191,48700,234,205,2009,4366,153,289,3247,105,1126,853,15,198,
2022-09-03,192,49050,235,205,2034,4403,153,293,3268,105,1134,864,15,203,
2022-09-04,193,49500,236,206,2049,4430,156,294,3276,106,1147,864,15,203,
2022-09-05,194,49800,236,206,2068,4459,156,294,3286,107,1157,867,15,205,
2022-09-06,195,50150,236,207,2077,4484,156,296,3305,109,1179,876,15,209,
2022-09-07,196,50610,237,208,2097,4520,156,300,3320,109,1194,880,15,214,
2022-09-08,197,51250,239,210,2112,4557,159,305,3344,110,1226,884,15,214,
2022-09-09,198,51900,239,211,2122,4575,159,306,3399,114,1237,888,15,214,
2022-09-10,199,52250,239,212,2136,4584,162,311,3426,116,1259,898,15,215,
2022-09-11,200,52650,242,213,2154,4617,162,311,3445,117,1263,902,15,216,kharkiv oblast liberation
2022-09-12,201,52950,243,213,2168,4640,162,311,3463,117,1269,903,15,216,electrical grid strike
